KT;ORTNAME;PLZ
TG;Aadorf;8355
AG;Aarau;5000
BE;Aarberg;3270
AG;Aarburg;4663
BE;Aarwangen;4912
ZH;Aathal;8607
TG;Aawangen;8522
BE;Abländschen;1657
SG;Abtwil;9030
AG;Abtwil;5646
BE;Achseten;3725
GR;Acla;7185
GR;Acla (Safien);7104
VD;Aclens;1123
TI;Acquacalda;6718
TI;Acquarossa;6716
BE;Adelboden;3715
LU;Adelboden;4806
ZH;Adetswil;8345
LU;Adligenswil;6043
ZH;Adlikon bei Andelfingen;8452
ZH;Adlikon bei Regensdorf;8106
ZH;Adliswil;8134
BE;Aebersold (Ringgis);3673
SO;Aedermannsdorf;4714
BE;Aefligen;3426
BE;Aegerten;2558
BE;Aekenmatt;3147
LU;Aesch;6287
BL;Aesch;4147
ZH;Aesch (ZH);8904
ZH;Aesch bei Maur;8127
ZH;Aesch bei Neftenbach;8412
BE;Aeschau;3536
SO;Aeschi;4556
BE;Aeschi bei Spiez;3703
BE;Aeschiried;3703
BE;Aeschlen bei Oberdiessbach;3672
BE;Aeschlen bei Sigriswil;3656
SO;Aetigkofen;4583
SO;Aetingen;4587
AG;Aettenschwil;5645
ZH;Aeugst am Albis;8914
ZH;Aeugstertal;8914
SG;Aeugustisried;9466
GR;Aeuja;7250
GR;Affeier;7134
TG;Affeltrangen;9556
ZH;Affoltern am Albis;8910
ZH;Affoltern bei Zürich;8000
BE;Affoltern im Emmental;3416
VS;Agarn;3951
TI;Agarone;6597
ZH;Agasul;8308
BE;Ägerten;4923
VD;Agiez;1352
TI;Agno;6982
TI;Agnuzzo;6933
TI;Agra;6927
FR;Agriswil;3216
VD;Aigle;1860
GE;Aïre;1219
GE;Aire-la-Ville;1288
TI;Airolo;6780
VS;Albenried;3930
LU;Alberswil;6248
FR;Albeuve;1669
VS;Albinen;3955
ZH;Albis;8135
ZH;Albisbrunn;8915
ZH;Albisrieden;8000
BE;Albligen;3183
TI;Albonago;6962
TI;Albumo;6958
BE;Alchenflüh;3422
BE;Alchenstorf;3473
TI;Aldesago;6974
BE;Alfermée;2512
SG;Algetshausen;9249
AG;Alikon;5643
TI;All'Acqua;6781
VD;Allaman;1165
JU;Alle;2942
BE;Allenlüften;3205
VD;Allens;1304
BE;Allenwil;3054
ZG;Allenwinden;6319
SO;Allerheiligenberg;4615
VS;Allesse;1905
FR;Allières;1669
AG;Alliswil;5706
BE;Allmendingen;3600
BE;Allmendingen bei Bern;3112
AR;Allmendsberg;9428
BL;Allschwil;4123
NW;Allweg;6372
GR;Almens;7416
ZG;Alosen;6315
GR;Alp Grüm;7710
OW;Alpnach Dorf;6055
OW;Alpnachstad;6053
SZ;Alpthal;8849
SG;Alt St. Johann;9656
TI;Altanca;6776
FR;Altavilla;3280
ZH;Altbachs;8164
LU;Altbüron;6147
UR;Altdorf;6460
UR;Altdorf;6460
SH;Altdorf;8243
ZH;Alten;8453
AG;Altenburg;5210
SZ;Altendorf;8852
SG;Altendorf;9470
TG;Altenklingen;8560
SG;Altenrhein;9423
FR;Alterswil;1715
SG;Alterswil;9230
TG;Alterswilen;8573
AG;Althäusern;5628
ZH;Altikon;8479
TG;Altishausen;8573
LU;Altishofen;6246
TG;Altnau;8595
SO;Altreu;2545
AG;Altstalden;5225
SG;Altstätten;9450
ZH;Altstetten;8000
LU;Altwis;6286
GR;Alvaneu Bad;7473
GR;Alvaneu Dorf;7492
GR;Alvaschein;7451
GR;Am Bach;7447
TI;Ambrì;6775
SG;Amden;8873
ZH;Ämet;8133
VS;Aminona-sur-Sierre;3963
TG;Amlikon;8514
SO;Ammannsegg;4573
TG;Ammenhausen;8506
AG;Ammerswil;5600
BE;Ammerzwil;3257
TG;Amriswil;8580
BE;Amsoldingen;3633
UR;Amsteg;6474
GR;Andeer;7440
ZH;Andelfingen;8450
UR;Andermatt;6490
TG;Andhausen;8572
GR;Andiast;7159
SG;Andwil;9204
SG;Andwil;9204
TG;Andwil;8586
TG;Anetswil;9545
BL;Angenstein;4147
AG;Anglikon;5611
GE;Anières;1247
GR;Annunziata;7745
VD;Antagnes;1867
BL;Anwil;4469
VD;Anzeinda;1882
VS;Anzère;1972
TI;Anzonico;6748
AI;Appenzell;9050
AI;Appenzell;9050
AI;Appenzell;9050
VD;Apples;1143
VS;Aproz;1994
VS;Aproz;1994
TI;Aquila;6719
VD;Aran;1091
TI;Aranno;6994
GE;Arare;1212
GR;Araschgen;7062
ZG;Arbach;6340
VS;Arbaz;1974
TI;Arbedo;6517
BL;Arboldswil;4424
TG;Arbon;9320
TI;Arcegno;6618
BE;Arch;3296
FR;Arconciel;1732
GR;Ardez;7546
VS;Ardon;1957
TG;Arenenberg;8268
NE;Areuse;2015
GR;Arezen;7104
VS;Argnoud;1966
BL;Arisdorf;4422
AG;Aristau;5628
BL;Arlesheim;4144
ZH;Arn;8810
SG;Arnegg;9212
VD;Arnex-sur-Nyon;1277
VD;Arnex-sur-Orbe;1321
BE;Arni;3508
AG;Arni;8905
BE;Arnisäge;3508
TI;Arogno;6822
VS;Arolla;1986
GR;Arosa;7050
TI;Arosio;6939
VD;Arrissoules;1463
FR;Arruffens;1680
SZ;Arth;6415
TI;Artore;6500
VD;Arveyes;1884
GR;Arvigo;6543
VS;Arvillard;1991
VD;Arzier;1273
TI;Arzo;6864
GR;Ascharina;7245
TI;Ascona;6612
AG;Asp;5025
VD;Assens;1042
TG;Ast;8572
TI;Astano;6999
JU;Asuel;2954
GE;Athenaz;1285
FR;Attalens;1616
AG;Attelwil;5056
ZH;Attikon;8544
UR;Attinghausen;6468
SO;Attisholz;4533
BE;Attiswil;4536
ZH;Au;8804
SG;Au;9434
AG;Au;5105
AG;Au;5105
TG;Au;8376
VD;Aubonne;1170
FR;Auboranges;1673
VS;Auddes-sur-Riddes;1914
AG;Auenstein;5105
GR;Augio;6547
BL;Augst;4302
ZH;Augwil;8426
VD;Auliens;1867
FR;Aumont;1484
TI;Auressio;6661
TI;Aurigeno;6677
ZH;Auslikon;8331
VS;Aussays;1891
VS;Ausserberg;3938
VS;Ausserbinn;3995
ZH;Ausserdinhard;8474
BE;Aussereriz;3619
GR;Ausserferrera;7444
ZH;Aussersihl;8000
BE;Auswil;4944
FR;Autafond;1782
FR;Autavaux;1475
FR;Autigny;1742
NE;Auvernier;2012
AG;Auw;5644
TI;Avegno;6670
VS;Aven;1976
VD;Avenches;1580
VD;Avenex;1274
GR;Avers;7447
FR;Avry-devant-Pont;1644
FR;Avry-sur-Matran;1754
GE;Avully;1237
GE;Avusy;1285
BE;Axalp;3855
VS;Ayer;3961
SG;Azmoos;9478
ZG;Baar;6340
VS;Baar;1996
SZ;Bäch;8806
SZ;Bächau;8806
ZH;Bachenbülach;8184
SG;Bächis;9452
BS;Bachletten;4000
SG;Bächli;9633
ZH;Bachs;8164
ZH;Bachtel;8342
LU;Bad Knutwil;6213
LU;Bad Knutwil;6213
SG;Bad Ragaz;7310
AG;Bad Zurzach;5330
AG;Baden;5400
BE;Baggwil;3267
VS;Bagnes;1934
